GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe,pov_ci_low,pov_ci_high
48287,"Lee County, Texas",76371,8546,1986,594,17524,58,0.11333028988815338,0.033894295244862774,0.07943599464329061,0.14722458513301617
48037,"Bowie County, Texas",59803,2992,13997,1348,86368,135,0.162062337902927,0.01560557662461955,0.14645676127830745,0.17766791452754657
48273,"Kleberg County, Texas",61292,4466,8077,1250,28749,353,0.2809489025705242,0.04334270825986745,0.23760619431065674,0.32429161083039165
48229,"Hudspeth County, Texas",48600,11506,508,228,2929,13,0.17343803345851827,0.07783846069605907,0.0955995727624592,0.2512764941545773
48419,"Shelby County, Texas",49776,6129,4917,835,23887,91,0.2058441830284255,0.03494745531513912,0.17089672771328637,0.24079163834356462
48301,"Loving County, Texas",51250,617,2,2,33,30,0.06060606060606061,0.025248350936395804,0.035357709669664804,0.0858544115424564
48339,"Montgomery County, Texas",97701,2366,64224,4653,680151,718,0.09442609067692322,0.006840401673618952,0.08758568900330427,0.10126649235054216
48029,"Bexar County, Texas",72341,701,296387,9067,2027961,1300,0.14615024647909897,0.00447001157510295,0.141680234903996,0.15062025805420193
48245,"Jefferson County, Texas",60026,1694,46448,2562,238359,459,0.19486572774680208,0.01074194060654197,0.18412378714026012,0.20560766835334404
48457,"Tyler County, Texas",55396,6988,3229,569,18037,130,0.1790209014802905,0.031519868109724465,0.14750103337056605,0.21054076959001497
48157,"Fort Bend County, Texas",114041,1899,67161,5682,886828,808,0.07573170896724055,0.006406733320130828,0.06932497564710972,0.08213844228737137
48139,"Ellis County, Texas",99595,3164,14539,2156,210653,284,0.06901871798645165,0.010234418191463755,0.05878429979498789,0.0792531361779154
48499,"Wood County, Texas",60300,4634,5625,941,44988,182,0.12503334222459322,0.020910571850033675,0.10412277037455955,0.1459439140746269
48041,"Brazos County, Texas",58553,2259,54295,2850,223745,441,0.24266464055062684,0.012728731938651542,0.2299359086119753,0.2553933724892784
48459,"Upshur County, Texas",66208,4679,5179,846,41908,115,0.12358022334637778,0.020184227882628317,0.10339599546374946,0.1437644512290061
48343,"Morris County, Texas",58645,3609,2303,489,11834,132,0.19460875443636977,0.04126455957805107,0.15334419485831868,0.23587331401442085
48393,"Roberts County, Texas",67868,8541,47,33,832,126,0.056490384615384616,0.038729853742339976,0.01776053087304464,0.09522023835772458
48289,"Leon County, Texas",61449,5115,2654,528,16183,17,0.16399925848112218,0.032626375781550455,0.13137288269957173,0.19662563426267263
48349,"Navarro County, Texas",63111,4150,9106,1193,53199,110,0.17116863098930432,0.022422440454586433,0.14874619053471788,0.19359107144389076
48185,"Grimes County, Texas",69803,4947,4044,894,27762,680,0.1456667387075859,0.03200401980690196,0.11366271890068394,0.17767075851448785
48467,"Van Zandt County, Texas",69475,3694,6869,1266,61897,95,0.1109746837488085,0.020452624563268934,0.09052205918553957,0.13142730831207744
48125,"Dickens County, Texas",49335,5467,307,91,1707,155,0.17984768599882836,0.05074697914425231,0.12910070685457606,0.23059466514308066
48105,"Crockett County, Texas",81022,32122,258,156,2767,282,0.09324177809902422,0.05557212113393547,0.03766965696508875,0.14881389923295968
48415,"Scurry County, Texas",60039,7010,1692,577,14591,88,0.11596189431841546,0.03953873996312938,0.07642315435528607,0.15550063428154484
48379,"Rains County, Texas",65413,5361,1268,368,12697,18,0.09986611010474915,0.02898287859968005,0.0708832315050691,0.1288489887044292
48261,"Kenedy County, Texas",38882,4589,22,18,144,90,0.1527777777777778,0.08066847330200654,0.07210930447577125,0.23344625107978434
48213,"Henderson County, Texas",65179,3668,12286,1433,83393,108,0.14732651421582146,0.01718263717828061,0.13014387703754085,0.16450915139410208
48355,"Nueces County, Texas",66897,1922,60147,3675,345578,341,0.17404753774835205,0.010632970629477776,0.16341456711887428,0.18468050837782982
48427,"Starr County, Texas",37639,4431,21981,2118,65584,20,0.3351579653574042,0.032294300328059945,0.30286366502934425,0.3674522656854642
48409,"San Patricio County, Texas",69704,4048,10250,1608,69345,140,0.14781166630615042,0.023186485535988285,0.12462518077016213,0.1709981518421387
48039,"Brazoria County, Texas",97993,3188,27893,2200,377608,484,0.07386760873710303,0.0058253783839969184,0.06804223035310611,0.07969298712109996
48443,"Terrell County, Texas",44886,18616,64,59,835,282,0.07664670658682635,0.06574641920657194,0.010900287380254406,0.1423931257933983
48211,"Hemphill County, Texas",61563,22132,197,103,3182,22,0.061910747957259586,0.03236674860347352,0.029543999353786064,0.09427749656073312
48067,"Cass County, Texas",53813,4921,4935,776,28173,53,0.17516771376850176,0.027542131219164212,0.14762558254933755,0.20270984498766598
48387,"Red River County, Texas",48491,3389,1785,365,11429,11,0.15618164318838043,0.03193594862219835,0.12424569456618209,0.18811759181057877
48219,"Hockley County, Texas",63140,4743,2719,569,20814,69,0.1306332276352455,0.027333938756157274,0.10329928887908824,0.1579671663914028
48127,"Dimmit County, Texas",38808,8956,3390,732,8247,7,0.411058566751546,0.08875886317328646,0.32229970357825954,0.49981742992483247
48471,"Walker County, Texas",52324,4014,11582,1504,63074,210,0.183625582648952,0.02383716867748333,0.15978841397146867,0.20746275132643535
48089,"Colorado County, Texas",66377,6733,2199,506,20599,34,0.10675275498810621,0.024563667270022117,0.0821890877180841,0.13131642225812834
48131,"Duval County, Texas",49038,8942,3013,761,9056,98,0.33270759717314485,0.08395551951572484,0.24875207765742002,0.4166631166888697
48475,"Ward County, Texas",65952,17987,1644,514,11016,17,0.14923747276688454,0.04665883612197867,0.10257863664490587,0.19589630888886322
48225,"Houston County, Texas",56531,3782,2914,549,19385,105,0.15032241423781273,0.028309159593121518,0.1220132546446912,0.17863157383093425
48347,"Nacogdoches County, Texas",53555,3013,13099,1123,60090,156,0.2179896821434515,0.018680063165725458,0.19930961897772603,0.23666974530917695
48153,"Floyd County, Texas",58462,8910,925,275,5157,52,0.17936784952491758,0.0532948964855555,0.12607295303936208,0.23266274601047307
48469,"Victoria County, Texas",70896,2738,14569,1965,89677,325,0.16246083165137104,0.02190406128705209,0.14055677036431896,0.18436489293842312
48223,"Hopkins County, Texas",70888,5106,4421,783,37224,23,0.11876746185256823,0.02103468823957195,0.09773277361299629,0.13980215009214017
48025,"Bee County, Texas",57673,5833,4236,767,24074,300,0.1759574644845061,0.03178455411914427,0.14417291036536184,0.20774201860365038
48119,"Delta County, Texas",66575,11689,612,192,5385,2,0.11364902506963788,0.035654571115549705,0.07799445395408817,0.14930359618518757
48455,"Trinity County, Texas",52018,4911,2433,548,13813,91,0.17613842032867588,0.03965579798211923,0.13648262234655664,0.21579421831079512
48015,"Austin County, Texas",75789,8661,3689,678,30860,60,0.1195398574206092,0.021968958570191977,0.09757089885041723,0.14150881599080117
48151,"Fisher County, Texas",65533,2822,495,115,3607,18,0.13723315774882175,0.03187509483200211,0.10535806291681964,0.16910825258082385
48407,"San Jacinto County, Texas",65364,6756,5148,862,28025,270,0.18369313113291705,0.030707296143660003,0.15298583498925705,0.21440042727657704
48405,"San Augustine County, Texas",50408,7814,2070,431,7628,41,0.27136864184583115,0.05648353011161626,0.21488511173421487,0.3278521719574474
48477,"Washington County, Texas",77825,5635,4574,680,34079,282,0.13421755333196397,0.019922703722285984,0.11429484960967799,0.15414025705424997
48435,"Sutton County, Texas",78906,19411,147,93,3260,17,0.045092024539877304,0.028526638249576325,0.01656538629030098,0.07361866278945363
48071,"Chambers County, Texas",109804,10467,6054,1417,51085,164,0.11850836840559852,0.027735474352852306,0.09077289405274622,0.14624384275845081
48377,"Presidio County, Texas",43802,8138,1896,757,5925,10,0.32,0.1277625715492817,0.1922374284507183,0.4477625715492817
48087,"Collingsworth County, Texas",61280,6323,550,197,2528,158,0.2175632911392405,0.07673169662563378,0.14083159451360672,0.2942949877648743
48269,"King County, Texas",46645,20375,50,36,211,83,0.23696682464454977,0.14290180822221973,0.09406501642233003,0.37986863286676953
48345,"Motley County, Texas",61154,11948,190,60,1183,136,0.16060862214708369,0.047238252937851215,0.11337036920923246,0.2078468750849349
48061,"Cameron County, Texas",52601,1632,104877,4334,422446,340,0.2482613162392353,0.010257353484257957,0.23800396275497734,0.25851866972349324
48473,"Waller County, Texas",80397,5053,8324,1209,56878,202,0.14634832448398327,0.02124966626514613,0.12509865821883714,0.1675979907491294
48161,"Freestone County, Texas",59960,5424,2285,499,18582,48,0.1229684641050479,0.026852065957176135,0.09611639814787176,0.14982053006222404
48453,"Travis County, Texas",99611,1578,142566,7449,1304589,833,0.1092803940551392,0.005709417877440872,0.10357097617769832,0.11498981193258008
48495,"Winkler County, Texas",86900,18475,1196,372,7373,6,0.1622134816221348,0.050454187817415876,0.11175929380471894,0.21266766943955068
48491,"Williamson County, Texas",111340,1581,42919,3486,667407,478,0.0643070869799088,0.0052229965724119466,0.05908409040749686,0.06953008355232075
48423,"Smith County, Texas",74192,2224,27158,2632,234771,456,0.11567868263115973,0.011208672941068254,0.10447000969009147,0.12688735557222797
48461,"Upton County, Texas",49167,22121,494,168,3080,45,0.1603896103896104,0.05449509427767898,0.1058945161119314,0.21488470466728937
48373,"Polk County, Texas",62259,3861,8538,1101,48887,117,0.17464765684128705,0.022517445650286672,0.15213021119100037,0.19716510249157373
48241,"Jasper County, Texas",56723,6933,6520,943,31431,114,0.20743851611466388,0.029992791774736568,0.1774457243399273,0.23743130788940045
48449,"Titus County, Texas",58425,4968,5314,767,31076,64,0.17100012871669457,0.0246789135746046,0.14632121514208996,0.19567904229129918
48389,"Reeves County, Texas",64297,10908,1957,555,11680,211,0.1675513698630137,0.04742062129509803,0.12013074856791567,0.21497199115811172
48437,"Swisher County, Texas",36165,14512,1901,436,6316,56,0.3009816339455352,0.06897943110047952,0.23200220284505566,0.36996106504601467
48173,"Glasscock County, Texas",101250,53302,95,73,1068,146,0.08895131086142322,0.06726171449444372,0.021689596366979494,0.15621302535586695
48361,"Orange County, Texas",72104,2537,10594,1360,84456,156,0.12543809794449182,0.016101392598270807,0.109336705346221,0.14153949054276263
48167,"Galveston County, Texas",86105,2507,41318,2713,352806,359,0.11711252076211856,0.007688855084464362,0.1094236656776542,0.12480137584658292
48007,"Aransas County, Texas",69466,8686,3513,708,24666,15,0.14242276818292388,0.02870334780104311,0.11371942038188076,0.171126115983967
48465,"Val Verde County, Texas",66100,5286,7625,1111,46005,120,0.1657428540376046,0.024145678900908206,0.1415971751366964,0.18988853293851282
48403,"Sabine County, Texas",66585,7963,1088,335,9874,36,0.11018837350617784,0.033925107714417424,0.07626326579176042,0.14411348122059525
48315,"Marion County, Texas",49672,3965,1763,415,9622,3,0.18322594055289962,0.043130288502272636,0.140095652050627,0.22635622905517225
48257,"Kaufman County, Texas",89485,5546,16548,2406,170891,251,0.09683365420063081,0.014078431467406576,0.08275522273322423,0.11091208566803738
48277,"Lamar County, Texas",61880,4398,9460,1138,49872,138,0.1896855951235162,0.022812377668516716,0.1668732174549995,0.21249797279203292
48005,"Angelina County, Texas",60960,3197,13351,1625,84720,205,0.15758970727101038,0.01917704011886194,0.13841266715214845,0.1767667473898723
48507,"Zavala County, Texas",36749,5834,3174,892,9357,4,0.33921128566848346,0.09532958940179756,0.2438816962666859,0.43454087507028105
48401,"Rusk County, Texas",68658,4537,6899,1056,47865,120,0.14413454507468923,0.02205909003154065,0.12207545504314858,0.16619363510622986
48003,"Andrews County, Texas",72242,9282,2872,862,18419,17,0.15592594603398666,0.04679927924077887,0.10912666679320779,0.20272522527476552
48395,"Robertson County, Texas",72236,7168,2291,465,16957,8,0.13510644571563366,0.027422229393533355,0.1076842163221003,0.16252867510916702
48371,"Pecos County, Texas",72750,12336,2741,962,12708,115,0.21569090336795718,0.07567517820607284,0.14001572516188435,0.29136608157403
48051,"Burleson County, Texas",70000,8319,2367,538,18650,50,0.12691689008042895,0.028845178192330442,0.0980717118880985,0.1557620682727594
48239,"Jackson County, Texas",65414,3937,2101,612,14951,8,0.1405257173433215,0.0409336477460571,0.09959206959726441,0.1814593650893786
48351,"Newton County, Texas",42618,5785,2260,490,11921,54,0.18958141095545675,0.04109496226688656,0.1484864486885702,0.2306763732223433
48103,"Crane County, Texas",62212,14766,485,360,4454,73,0.10889088459811405,0.08080651759518012,0.02808436700293393,0.18969740219329417
48237,"Jack County, Texas",68079,9113,1011,299,7806,29,0.12951575710991545,0.03830084658117808,0.09121491052873737,0.16781660369109352
48327,"Menard County, Texas",53043,18990,360,173,1909,9,0.1885804085908853,0.09061900181142944,0.09796140677945585,0.2791994104023147
48053,"Burnet County, Texas",78732,5425,4099,596,51473,136,0.0796339828648029,0.011576974163529652,0.06805700870127325,0.09121095702833255
48463,"Uvalde County, Texas",53801,6171,5324,1222,24010,84,0.22174094127446897,0.05088954757436716,0.17085139370010183,0.2726304888488361
48311,"McMullen County, Texas",43875,13683,86,94,700,280,0.12285714285714286,0.12497052713764643,0,0.24782766999478928
48187,"Guadalupe County, Texas",92375,3124,16914,2064,181649,99,0.09311364224410815,0.011362459548861777,0.08175118269524637,0.10447610179296993
48203,"Harrison County, Texas",66103,3000,10574,1280,67667,489,0.156265240072709,0.01888242546207186,0.13738281461063714,0.17514766553478087
48391,"Refugio County, Texas",60181,5864,958,292,6550,17,0.14625954198473282,0.04457853645358023,0.10168100553115259,0.19083807843831305
48057,"Calhoun County, Texas",79959,8800,1503,531,19612,12,0.07663675300836223,0.02707521943883326,0.04956153356952897,0.10371197244719549
48133,"Eastland County, Texas",53549,6005,2780,472,17155,26,0.16205187991839115,0.02751274813252892,0.13453913178586224,0.18956462805092006
48155,"Foard County, Texas",61563,25735,52,42,933,168,0.055734190782422297,0.043883153440778276,0.01185103734164402,0.09961734422320057
48073,"Cherokee County, Texas",61261,4398,8839,1245,48681,128,0.18156981163082106,0.025570203096931872,0.1559996085338892,0.20714001472775292
48063,"Camp County, Texas",58843,6940,2535,551,12727,9,0.19918283963227784,0.0432935557366004,0.15588928389567744,0.24247639536887824
48141,"El Paso County, Texas",59806,1141,160597,5237,856719,507,0.18745586359121252,0.006111849443700109,0.18134401414751242,0.19356771303491263
48001,"Anderson County, Texas",62068,4521,8373,1207,48218,210,0.17364884482973164,0.02502071859704096,0.14862812623269067,0.1986695634267726
48199,"Hardin County, Texas",75808,5192,6902,1147,57095,114,0.12088624222786584,0.020087874743956565,0.10079836748390927,0.1409741169718224
48243,"Jeff Davis County, Texas",59286,31477,442,244,1850,341,0.23891891891891892,0.12432246638915448,0.11459645252976444,0.3632413853080734
48329,"Midland County, Texas",92874,5211,19655,2733,173205,344,0.11347824831846656,0.015777380553612285,0.09770086776485427,0.12925562887207884
48323,"Maverick County, Texas",49568,4673,13119,1942,57580,136,0.22783952761375478,0.033722695025280296,0.19411683258847448,0.26156222263903506
48503,"Young County, Texas",68010,9174,2934,682,17779,9,0.16502615445188143,0.03835977179546814,0.12666638265641328,0.20338592624734958
48043,"Brewster County, Texas",56212,9462,808,240,9051,22,0.08927190365705447,0.02651551916698791,0.06275638449006656,0.11578742282404238
48333,"Mills County, Texas",67620,10934,311,100,4320,40,0.07199074074074074,0.02313854862666763,0.048852192114073115,0.09512928936740837
48215,"Hidalgo County, Texas",54338,1156,235512,8160,883207,528,0.26665549525762366,0.009237681841587096,0.2574178134160366,0.27589317709921074
48481,"Wharton County, Texas",66924,3866,5589,1027,41070,119,0.13608473338203067,0.025002978212128737,0.11108175516990193,0.1610877115941594
48169,"Garza County, Texas",46314,16002,315,151,3741,225,0.08420208500400962,0.04004457975842301,0.04415750524558661,0.12424666476243262
48135,"Ector County, Texas",71536,3707,26727,3012,162467,351,0.16450725378076778,0.01853574247322481,0.14597151130754296,0.1830429962539926
48055,"Caldwell County, Texas",69758,5400,6133,1164,46527,226,0.1318159348335375,0.025009536887716566,0.10680639794582095,0.15682547172125408
48445,"Terry County, Texas",44100,2716,1991,446,10860,75,0.18333333333333332,0.04104861842883769,0.14228471490449562,0.22438195176217102
48497,"Wise County, Texas",93421,4689,6536,1149,73520,250,0.08890097932535365,0.015625476429560973,0.07327550289579268,0.10452645575491462
48069,"Castro County, Texas",56776,10779,1390,307,7243,5,0.19190942979428413,0.04238554472385563,0.1495238850704285,0.23429497451813977
48309,"McLennan County, Texas",66643,1952,42565,2647,256700,300,0.16581612777561355,0.010309826776529073,0.15550630099908447,0.17612595455214264
48331,"Milam County, Texas",66141,6831,3241,654,25039,18,0.12943807660050322,0.026119088216782365,0.10331898838372085,0.15555716481728557
48091,"Comal County, Texas",101889,2995,11813,1489,182313,226,0.06479515997213584,0.00816687779164216,0.05662828218049368,0.07296203776377799
